video_id	caption_pred	start	end	duration	phase	idx
v_wave_Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_4	PLACEHOLDER	0.0	3.1599999999999997	3.1599999999999997	val_1	32
v_wave_CharlieAndTheChocolateFactory_wave_u_nm_np1_fr_med_2	PLACEHOLDER	0.0	3.0799999999999996	3.0799999999999996	val_1	33
v_wave_RATRACE_wave_f_nm_np1_fr_med_21	PLACEHOLDER	0.0	3.1599999999999997	3.1599999999999997	val_1	34
v_wave_UNREPEATABLE_wave_f_nm_np1_fr_med_5	PLACEHOLDER	0.0	2.96	2.96	val_1	35
v_wave_Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_0	PLACEHOLDER	0.0	8.2	8.2	val_1	36
v_wave_Hitch_Part_1_wave_u_nm_np1_fr_goo_1	PLACEHOLDER	0.0	3.04	3.04	val_1	37
v_wave_EVOLUTION_wave_u_cm_np1_fr_med_4	PLACEHOLDER	0.0	3.28	3.28	val_1	38
v_wave_Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_10	PLACEHOLDER	0.0	3.1599999999999997	3.1599999999999997	val_1	39
v_wave_CharlieAndTheChocolateFactory_wave_u_nm_np1_fr_bad_1	PLACEHOLDER	0.0	1.76	1.76	val_1	40
v_wave_AmericanGangster_wave_u_cm_np1_fr_med_57	PLACEHOLDER	0.0	2.1599999999999997	2.1599999999999997	val_1	41
v_wave_TrumanShow_wave_f_nm_np1_fr_med_26	PLACEHOLDER	0.0	1.9199999999999997	1.9199999999999997	val_1	42
v_wave_Chris_Benoit_waving_goodbye_wave_u_nm_np1_fr_med_1	PLACEHOLDER	0.0	3.1599999999999997	3.1599999999999997	val_1	43
v_wave_Newall_Green_High_Students_Waving_Goodbye_wave_u_cm_np1_fr_bad_2	PLACEHOLDER	0.0	3.1599999999999997	3.1599999999999997	val_1	44
v_wave_EVOLUTION_wave_u_nm_np1_le_med_3	PLACEHOLDER	0.0	1.96	1.96	val_1	45
v_wave_RATRACE_wave_u_nm_np1_fr_med_34	PLACEHOLDER	0.0	2.08	2.08	val_1	46
v_wave_HP_PRISONER_OF_AZKABAN_wave_f_cm_np1_fr_med_12	PLACEHOLDER	0.0	1.8399999999999999	1.8399999999999999	val_1	47
v_wave_SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0	PLACEHOLDER	0.0	2.96	2.96	val_1	48
v_wave_BLACK_HAWK_DOWN_wave_u_nm_np1_ba_goo_19	PLACEHOLDER	0.0	2.1199999999999997	2.1199999999999997	val_1	49
v_wave_prideandprejudice1_wave_f_nm_np1_ri_med_14	PLACEHOLDER	0.0	3.36	3.36	val_1	50
v_wave_50_FIRST_DATES_wave_u_cm_np1_fr_med_36	PLACEHOLDER	0.0	3.1599999999999997	3.1599999999999997	val_1	51
v_wave_eddieizzardcircle_wave_u_nm_np1_ri_med_8	PLACEHOLDER	0.0	2.08	2.08	val_1	52
v_wave_BIG_FISH_wave_u_nm_np1_fr_bad_4	PLACEHOLDER	0.0	3.36	3.36	val_1	53
v_wave_BuddhaPainter_wave_u_nm_np1_fr_med_1	PLACEHOLDER	0.0	5.52	5.52	val_1	54
v_wave_TrumanShow_wave_u_nm_np1_fr_med_0	PLACEHOLDER	0.0	2.88	2.88	val_1	55
v_wave_Bubble_Gum_Club_2_wave_h_nm_np2_fr_med_0	PLACEHOLDER	0.0	3.1199999999999997	3.1199999999999997	val_1	56
v_wave_DONNIE_DARKO_wave_u_nm_np1_fr_goo_9	PLACEHOLDER	0.0	4.52	4.52	val_1	57
v_wave_DONNIE_DARKO_wave_u_nm_np1_le_goo_8	PLACEHOLDER	0.0	4.2	4.2	val_1	58
v_wave_WeddingCrashers_wave_u_nm_np1_fr_goo_0	PLACEHOLDER	0.0	2.1199999999999997	2.1199999999999997	val_1	59
v_wave_Chris_Benoit_waving_goodbye_wave_u_nm_np1_fr_med_0	PLACEHOLDER	0.0	3.4	3.4	val_1	60
v_wave_TrumanShow_wave_u_nm_np1_fr_med_25	PLACEHOLDER	0.0	1.88	1.88	val_1	61
v_wave_IndianaJonesandTheTempleofDoom_wave_h_nm_np1_fr_med_2	PLACEHOLDER	0.0	1.96	1.96	val_1	62
v_wave_RATRACE_wave_f_nm_np1_fr_goo_37	PLACEHOLDER	0.0	2.88	2.88	val_1	63
v_wave_KUNG_FU_HUSTLE_wave_f_nm_np1_fr_med_7	PLACEHOLDER	0.0	1.96	1.96	val_1	64
v_wave_AllThePresidentMen_wave_h_nm_np1_fr_med_6	PLACEHOLDER	0.0	2.0	2.0	val_1	65
v_wave_Maya_beim_Winken_wave_f_cm_np1_fr_med_2	PLACEHOLDER	0.0	7.4399999999999995	7.4399999999999995	val_1	66
v_wave__I_ll_Just_Wave_My_Hand__sung_by_Cornerstone_Male_Choir_wave_u_cm_np1_fr_med_2	PLACEHOLDER	0.0	5.48	5.48	val_1	67
v_wave_Eurotrip_wave_u_nm_np1_fr_goo_4	PLACEHOLDER	0.0	2.08	2.08	val_1	68
v_wave_Song_I_Can_Wave_My_Hands_-_Cullen_s_Abc_s_wave_u_cm_np1_fr_med_2	PLACEHOLDER	0.0	3.8399999999999994	3.8399999999999994	val_1	69
v_wave_Maddin_winkt_wave_h_cm_np1_fr_med_1	PLACEHOLDER	0.0	3.2	3.2	val_1	70
v_wave_21_wave_u_nm_np1_fr_goo_5	PLACEHOLDER	0.0	2.08	2.08	val_1	71
v_wave_American_History_X_wave_u_nm_np1_fr_med_16	PLACEHOLDER	0.0	2.0	2.0	val_1	72
v_wave_Poldi_beim_Spiel_Deutschland_Schweden_16_8_wave_u_cm_np1_ri_med_0	PLACEHOLDER	0.0	3.1599999999999997	3.1599999999999997	val_1	73
v_wave_veoh_harold_and_kumar_wave_u_nm_np1_fr_goo_5	PLACEHOLDER	0.0	1.9199999999999997	1.9199999999999997	val_1	74
v_wave_Abschieds-winken_!!!!!!_Gruss_Guido_wave_u_cm_np1_fr_bad_0	PLACEHOLDER	0.0	4.16	4.16	val_1	75
v_wave_Song_I_Can_Wave_My_Hands_-_Cullen_s_Abc_s_wave_u_cm_np1_fr_med_0	PLACEHOLDER	0.0	3.1599999999999997	3.1599999999999997	val_1	76
v_wave_Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_3	PLACEHOLDER	0.0	3.1599999999999997	3.1599999999999997	val_1	77
v_wave_Maya_beim_Winken_wave_f_cm_np1_fr_med_0	PLACEHOLDER	0.0	3.4	3.4	val_1	78
v_wave_BIG_FISH_wave_u_nm_np1_fr_goo_9	PLACEHOLDER	0.0	2.24	2.24	val_1	79
v_wave_Newall_Green_High_Students_Waving_Goodbye_wave_u_cm_np1_fr_med_0	PLACEHOLDER	0.0	2.92	2.92	val_1	80
v_wave_RATRACE_wave_f_nm_np1_ri_med_10	PLACEHOLDER	0.0	1.88	1.88	val_1	81
v_wave_50_FIRST_DATES_wave_f_cm_np1_fr_med_0	PLACEHOLDER	0.0	2.0	2.0	val_1	82
v_wave_EVOLUTION_wave_u_nm_np1_fr_med_18	PLACEHOLDER	0.0	4.04	4.04	val_1	83
v_wave_A_Beautiful_Mind_2_wave_u_cm_np1_ri_med_3	PLACEHOLDER	0.0	2.8	2.8	val_1	84
v_wave__I_ll_Just_Wave_My_Hand__sung_by_Cornerstone_Male_Choir_wave_u_cm_np1_fr_med_1	PLACEHOLDER	0.0	6.8	6.8	val_1	85
v_wave_Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_5	PLACEHOLDER	0.0	3.8399999999999994	3.8399999999999994	val_1	86
v_wave_Pirates_5_wave_h_nm_np1_fr_med_8	PLACEHOLDER	0.0	1.9199999999999997	1.9199999999999997	val_1	87
v_wave_BIG_FISH_wave_u_nm_np1_le_goo_28	PLACEHOLDER	0.0	2.4	2.4	val_1	88
v_wave_MUSE_Wave_Goodbye_in_Wembley_wave_u_nm_np3_fr_med_0	PLACEHOLDER	0.0	4.16	4.16	val_1	89
v_wave_Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_2	PLACEHOLDER	0.0	3.92	3.92	val_1	90
v_wave_Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_1	PLACEHOLDER	0.0	3.36	3.36	val_1	91
v_wave_winKen_wave_u_cm_np1_ba_bad_0	PLACEHOLDER	0.0	1.68	1.68	val_1	92
v_wave_L_cheln_Und_Winken_wave_h_cm_np1_fr_med_1	PLACEHOLDER	0.0	2.0	2.0	val_1	93
v_wave_OldSchool_wave_f_cm_np1_fr_med_13	PLACEHOLDER	0.0	1.9199999999999997	1.9199999999999997	val_1	94
v_wave_Oceans12_wave_h_nm_np1_fr_goo_8	PLACEHOLDER	0.0	2.1599999999999997	2.1599999999999997	val_1	95
v_wave_RATRACE_wave_u_nm_np1_fr_med_9	PLACEHOLDER	0.0	1.3599999999999999	1.3599999999999999	val_1	96
v_wave_CastAway1_wave_u_cm_np1_ri_med_4	PLACEHOLDER	0.0	3.1199999999999997	3.1199999999999997	val_1	97
v_wave_RATRACE_wave_u_nm_np1_fr_med_27	PLACEHOLDER	0.0	3.04	3.04	val_1	98
v_wave_50_FIRST_DATES_wave_u_cm_np1_fr_med_1	PLACEHOLDER	0.0	1.9199999999999997	1.9199999999999997	val_1	99
v_wave_BATMAN_BEGINS_wave_u_cm_np1_fr_med_19	PLACEHOLDER	0.0	2.1199999999999997	2.1199999999999997	val_1	100
v_wave_MUSE_Wave_Goodbye_in_Wembley_wave_u_cm_np3_fr_med_1	PLACEHOLDER	0.0	5.239999999999999	5.239999999999999	val_1	101
v_wave_Hitch_Part_2_wave_h_nm_np1_fr_goo_12	PLACEHOLDER	0.0	3.04	3.04	val_1	102
v_wave_Maddin_winkt_wave_h_cm_np1_le_med_0	PLACEHOLDER	0.0	3.2	3.2	val_1	103
v_chew_Blowing_Bubbles!_chew_h_nm_np1_fr_med_0	PLACEHOLDER	0.0	5.56	5.56	val_1	104
v_chew_Duble_Bubble_Gum_chew_h_cm_np1_fr_bad_2	PLACEHOLDER	0.0	4.04	4.04	val_1	105
v_chew_chewing_gum_2_chew_h_cm_np1_fr_med_0	PLACEHOLDER	0.0	3.56	3.56	val_1	106
v_chew_Big_League_Chew_chew_h_nm_np1_fr_goo_1	PLACEHOLDER	0.0	6.319999999999999	6.319999999999999	val_1	107
v_chew_Wanda_Su_and_niece__T__blowing_bubbles_chew_u_nm_np2_fr_med_1	PLACEHOLDER	0.0	5.0	5.0	val_1	108
v_chew_Mr__Bubblegum_chew_h_nm_np1_fr_med_2	PLACEHOLDER	0.0	4.16	4.16	val_1	109
v_chew_random_gum_chewing_chew_h_cm_np1_fr_med_0	PLACEHOLDER	0.0	2.7199999999999998	2.7199999999999998	val_1	110
v_chew_Fun_Chewing_Gum!_chew_h_nm_np1_fr_med_0	PLACEHOLDER	0.0	4.08	4.08	val_1	111
v_chew_Bubblegum_Wigger_chew_h_nm_np1_fr_med_2	PLACEHOLDER	0.0	2.28	2.28	val_1	112
v_chew_Me_chewing_hubba_bubba_bubble_gum_chew_h_nm_np1_fr_bad_1	PLACEHOLDER	0.0	4.680000000000001	4.680000000000001	val_1	113
v_chew_Bubble_blowing_3!_chew_h_nm_np1_le_bad_2	PLACEHOLDER	0.0	4.319999999999999	4.319999999999999	val_1	114
v_chew_cotton_candy_bubble_gum_chew_h_nm_np1_fr_med_2	PLACEHOLDER	0.0	4.76	4.76	val_1	115
v_chew_How_to_Do_Basic_Mime_Skills_-_How_to_Mime_Chewing_Gum_chew_h_cm_np1_fr_med_0	PLACEHOLDER	0.0	3.52	3.52	val_1	116
v_chew_chewing_gum_1_chew_h_nm_np1_fr_goo_2	PLACEHOLDER	0.0	4.72	4.72	val_1	117
v_chew_Sexy_girl_on_the_bed_teasing_chew_u_nm_np1_fr_med_2	PLACEHOLDER	0.0	4.48	4.48	val_1	118
v_chew_TheLittleShopofHorrors_chew_u_nm_np1_fr_med_8	PLACEHOLDER	0.0	3.1199999999999997	3.1199999999999997	val_1	119
v_chew_random_gum_chewing_chew_h_nm_np1_fr_med_1	PLACEHOLDER	0.0	3.56	3.56	val_1	120
v_chew_blondeandbubbles_chew_h_nm_np1_fr_goo_1	PLACEHOLDER	0.0	4.04	4.04	val_1	121
v_chew_Bubblegum_Wigger_chew_h_nm_np1_fr_goo_0	PLACEHOLDER	0.0	3.4	3.4	val_1	122
v_chew_LittleChildren_chew_h_nm_np1_fr_goo_7	PLACEHOLDER	0.0	3.2	3.2	val_1	123
v_chew_Me_chewing_hubba_bubba_bubble_gum_chew_h_nm_np1_fr_bad_0	PLACEHOLDER	0.0	3.36	3.36	val_1	124
v_chew_Fun_Chewing_Gum!_chew_h_nm_np2_fr_med_3	PLACEHOLDER	0.0	3.8399999999999994	3.8399999999999994	val_1	125
v_chew_Bubble_gum!_XD_chew_h_cm_np1_fr_med_1	PLACEHOLDER	0.0	4.4	4.4	val_1	126
v_chew_Me_chewing_hubba_bubba_bubble_gum_chew_h_nm_np1_fr_bad_2	PLACEHOLDER	0.0	3.6799999999999997	3.6799999999999997	val_1	127
v_chew_WeddingCrashers_chew_h_nm_np1_fr_goo_6	PLACEHOLDER	0.0	2.08	2.08	val_1	128
v_chew_#2_Gum_chew_h_nm_np1_fr_med_0	PLACEHOLDER	0.0	3.1599999999999997	3.1599999999999997	val_1	129
v_chew_cotton_candy_bubble_gum_chew_h_nm_np1_fr_med_0	PLACEHOLDER	0.0	5.08	5.08	val_1	130
v_chew_chewing_gum_1_chew_h_nm_np1_fr_goo_0	PLACEHOLDER	0.0	3.1199999999999997	3.1199999999999997	val_1	131
v_chew_prideandprejudice1_chew_u_nm_np1_fr_goo_6	PLACEHOLDER	0.0	3.0	3.0	val_1	132
v_chew_Scott_Can_t_Make_His_Bubblegum_Pop_chew_h_nm_np1_fr_med_2	PLACEHOLDER	0.0	3.56	3.56	val_1	133
v_chew_Massive_Bubble_Gum_Bubble_chew_h_nm_np1_le_goo_1	PLACEHOLDER	0.0	3.56	3.56	val_1	134
v_chew_cotton_candy_bubble_gum_chew_h_nm_np1_fr_med_1	PLACEHOLDER	0.0	3.96	3.96	val_1	135
v_chew_TheBoondockSaints_chew_u_nm_np1_fr_med_46	PLACEHOLDER	0.0	2.92	2.92	val_1	136
v_chew_TheBoondockSaints_chew_h_nm_np1_fr_goo_48	PLACEHOLDER	0.0	2.88	2.88	val_1	137
v_chew_Chewing_Gum_chew_h_nm_np1_fr_med_1	PLACEHOLDER	0.0	3.0	3.0	val_1	138
v_chew_Bubblegum_Bubbles_chew_h_cm_np1_fr_bad_0	PLACEHOLDER	0.0	3.1199999999999997	3.1199999999999997	val_1	139
v_chew_Sexy_girl_on_the_bed_teasing_chew_u_nm_np1_fr_med_0	PLACEHOLDER	0.0	3.8	3.8	val_1	140
v_chew_Duble_Bubble_Gum_chew_h_cm_np1_fr_bad_0	PLACEHOLDER	0.0	6.12	6.12	val_1	141
v_chew_Big_League_Chew_chew_h_nm_np1_fr_goo_0	PLACEHOLDER	0.0	6.239999999999999	6.239999999999999	val_1	142
v_chew_Duble_Bubble_Gum_chew_h_cm_np1_fr_bad_1	PLACEHOLDER	0.0	3.1199999999999997	3.1199999999999997	val_1	143
v_chew_Massive_Bubble_Gum_Bubble_chew_h_nm_np1_le_goo_0	PLACEHOLDER	0.0	4.0	4.0	val_1	144
v_chew_Bubble_gum!_XD_chew_h_cm_np1_fr_bad_2	PLACEHOLDER	0.0	3.1199999999999997	3.1199999999999997	val_1	145
v_chew_Sweet_Candy_Bubbles_chew_h_cm_np1_fr_med_2	PLACEHOLDER	0.0	4.959999999999999	4.959999999999999	val_1	146
v_chew_Double_bubble_in_one_big_bubble_-D_chew_h_nm_np1_fr_goo_2	PLACEHOLDER	0.0	3.4799999999999995	3.4799999999999995	val_1	147
v_chew_Gum_Chewing_Girl_chew_h_nm_np1_fr_med_1	PLACEHOLDER	0.0	3.88	3.88	val_1	148
v_chew_lol_im_so_weird___BLOWIN_BUBBLE_GUM__oops_i_burped_at_the_end_my_bad_lol_chew_h_cm_np1_le_med_1	PLACEHOLDER	0.0	3.8	3.8	val_1	149
v_chew_Sweet_Candy_Bubbles_chew_h_cm_np1_fr_med_0	PLACEHOLDER	0.0	3.64	3.64	val_1	150
v_chew_Bubblegum_Wigger_chew_h_nm_np1_fr_goo_1	PLACEHOLDER	0.0	2.88	2.88	val_1	151
v_chew_Dubble_bubble_compilation_-_all_on_8_pieces_chew_h_nm_np1_fr_med_2	PLACEHOLDER	0.0	4.72	4.72	val_1	152
v_chew_Scott_Can_t_Make_His_Bubblegum_Pop_chew_h_nm_np1_fr_med_0	PLACEHOLDER	0.0	4.319999999999999	4.319999999999999	val_1	153
v_chew_Scott_Can_t_Make_His_Bubblegum_Pop_chew_h_nm_np1_fr_med_1	PLACEHOLDER	0.0	3.1199999999999997	3.1199999999999997	val_1	154
v_chew_Wanda_Su_and_niece__T__blowing_bubbles_chew_u_nm_np2_le_med_3	PLACEHOLDER	0.0	3.36	3.36	val_1	155
v_chew_Wanda_Su_and_niece__T__blowing_bubbles_chew_u_nm_np2_fr_med_0	PLACEHOLDER	0.0	3.88	3.88	val_1	156
v_chew_Dubble_bubble_compilation_-_all_on_8_pieces_chew_h_nm_np1_fr_med_1	PLACEHOLDER	0.0	5.12	5.12	val_1	157
v_chew_Bubble_gum!_XD_chew_h_cm_np1_fr_med_0	PLACEHOLDER	0.0	3.2	3.2	val_1	158
v_chew_How_to_Do_Basic_Mime_Skills_-_How_to_Mime_Chewing_Gum_chew_h_cm_np1_fr_med_1	PLACEHOLDER	0.0	3.64	3.64	val_1	159
v_chew_Mr__Bubblegum_chew_h_nm_np1_fr_med_1	PLACEHOLDER	0.0	3.8399999999999994	3.8399999999999994	val_1	160
v_chew_Fun_Chewing_Gum!_chew_h_nm_np1_fr_med_1	PLACEHOLDER	0.0	5.04	5.04	val_1	161
v_chew_Loud_Chewing_chew_u_cm_np1_fr_med_0	PLACEHOLDER	0.0	3.1199999999999997	3.1199999999999997	val_1	162
v_chew_Fun_Chewing_Gum!_chew_h_nm_np2_fr_med_4	PLACEHOLDER	0.0	5.84	5.84	val_1	163
v_chew_Loud_Chewing_chew_u_cm_np1_fr_med_2	PLACEHOLDER	0.0	3.1199999999999997	3.1199999999999997	val_1	164
v_chew_blondeandbubbles_chew_h_nm_np1_fr_goo_0	PLACEHOLDER	0.0	3.8399999999999994	3.8399999999999994	val_1	165
v_chew_Big_League_Chew_chew_h_nm_np1_fr_goo_2	PLACEHOLDER	0.0	7.2	7.2	val_1	166
v_chew_Bubble_Gum_Club_2_chew_h_nm_np2_fr_med_1	PLACEHOLDER	0.0	3.28	3.28	val_1	167
v_chew_Dubble_bubble_compilation_-_all_on_8_pieces_chew_h_nm_np1_fr_med_0	PLACEHOLDER	0.0	2.88	2.88	val_1	168
v_chew_Massive_Bubble_Gum_Bubble_chew_h_nm_np1_le_goo_2	PLACEHOLDER	0.0	3.4799999999999995	3.4799999999999995	val_1	169
v_chew_Vid_Request-_Me_Blowing_Bubbles_-P_chew_h_nm_np1_fr_med_1	PLACEHOLDER	0.0	4.84	4.84	val_1	170
v_chew_Bubble_Blowing_Bubble_Gum_chew_h_nm_np1_fr_bad_2	PLACEHOLDER	0.0	4.56	4.56	val_1	171
v_chew_chewing_bubble_gum_chew_h_cm_np1_ri_bad_2	PLACEHOLDER	0.0	4.6	4.6	val_1	172
v_chew_#2_Gum_chew_h_nm_np1_fr_med_1	PLACEHOLDER	0.0	4.92	4.92	val_1	173
v_chew_Double_bubble_in_one_big_bubble_-D_chew_h_nm_np1_fr_goo_1	PLACEHOLDER	0.0	3.28	3.28	val_1	174
v_chew_Blowing_Bubbles!_chew_h_nm_np1_fr_goo_2	PLACEHOLDER	0.0	6.0	6.0	val_1	175
v_chew_Bubble_Blowing_Bubble_Gum_chew_h_nm_np1_fr_bad_1	PLACEHOLDER	0.0	3.1199999999999997	3.1199999999999997	val_1	176
v_chew_AMADEUS_chew_h_nm_np1_fr_goo_7	PLACEHOLDER	0.0	4.319999999999999	4.319999999999999	val_1	177
v_chew_Bubble_Blowing_Bubble_Gum_chew_h_nm_np1_fr_bad_0	PLACEHOLDER	0.0	4.52	4.52	val_1	178
v_chew_Tara_Bush_blowing_bubbles_5_chew_h_nm_np1_fr_goo_2	PLACEHOLDER	0.0	3.6799999999999997	3.6799999999999997	val_1	179
v_chew_#2_Gum_chew_h_nm_np1_fr_med_2	PLACEHOLDER	0.0	5.0	5.0	val_1	180
v_chew_Bubble_blowing_3!_chew_h_nm_np1_le_bad_0	PLACEHOLDER	0.0	3.52	3.52	val_1	181
v_chew_chewing_bubble_gum_chew_h_cm_np1_ri_med_1	PLACEHOLDER	0.0	4.56	4.56	val_1	182
v_chew_TheBoondockSaints_chew_u_cm_np1_le_med_35	PLACEHOLDER	0.0	3.0799999999999996	3.0799999999999996	val_1	183
v_chew_Tara_Bush_blowing_bubbles_5_chew_h_nm_np1_fr_goo_3	PLACEHOLDER	0.0	3.1599999999999997	3.1599999999999997	val_1	184
v_chew_Blowing_Bubbles!_chew_h_nm_np1_fr_med_1	PLACEHOLDER	0.0	4.64	4.64	val_1	185
v_chew_Mr__Bubblegum_chew_h_nm_np1_fr_med_0	PLACEHOLDER	0.0	3.52	3.52	val_1	186
v_chew_Loud_Chewing_chew_u_cm_np1_fr_med_1	PLACEHOLDER	0.0	3.0799999999999996	3.0799999999999996	val_1	187
v_chew_Vid_Request-_Me_Blowing_Bubbles_-P_chew_h_nm_np1_fr_med_2	PLACEHOLDER	0.0	5.52	5.52	val_1	188
v_chew_random_gum_chewing_chew_h_nm_np1_fr_med_2	PLACEHOLDER	0.0	4.72	4.72	val_1	189
v_chew_lol_im_so_weird___BLOWIN_BUBBLE_GUM__oops_i_burped_at_the_end_my_bad_lol_chew_h_cm_np1_fr_med_0	PLACEHOLDER	0.0	3.1199999999999997	3.1199999999999997	val_1	190
v_chew_Chewing_Gum_chew_h_nm_np1_fr_med_0	PLACEHOLDER	0.0	2.64	2.64	val_1	191
v_chew_chewing_gum_2_chew_h_cm_np1_fr_med_1	PLACEHOLDER	0.0	5.159999999999999	5.159999999999999	val_1	192
v_chew_Tara_Bush_blowing_bubbles_5_chew_h_nm_np1_le_goo_1	PLACEHOLDER	0.0	3.6	3.6	val_1	193
v_chew_Gum_Chewing_Girl_chew_h_nm_np1_fr_med_2	PLACEHOLDER	0.0	3.64	3.64	val_1	194
v_chew_Kaugummiblase_1_chew_h_cm_np1_le_med_2	PLACEHOLDER	0.0	3.1199999999999997	3.1199999999999997	val_1	195
