video_id	caption_pred	start	end	duration	category_32	subs	phase	idx
v_HulaHoop_g23_c03	PLACEHOLDER	0.0	3.24	3.24	1	PLACEHOLDER	val_1	46
v_HulaHoop_g11_c02	PLACEHOLDER	0.0	8.0	8.0	1	PLACEHOLDER	val_1	47
v_HulaHoop_g08_c04	PLACEHOLDER	0.0	3.24	3.24	1	PLACEHOLDER	val_1	48
v_HulaHoop_g13_c01	PLACEHOLDER	0.0	3.64	3.64	1	PLACEHOLDER	val_1	49
v_HulaHoop_g05_c02	PLACEHOLDER	0.0	3.84	3.84	1	PLACEHOLDER	val_1	50
v_HulaHoop_g01_c07	PLACEHOLDER	0.0	4.72	4.72	1	PLACEHOLDER	val_1	51
v_HulaHoop_g16_c03	PLACEHOLDER	0.0	3.84	3.84	1	PLACEHOLDER	val_1	52
v_HulaHoop_g14_c01	PLACEHOLDER	0.0	8.68	8.68	1	PLACEHOLDER	val_1	53
v_HulaHoop_g07_c04	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	54
v_HulaHoop_g20_c02	PLACEHOLDER	0.0	3.68	3.68	1	PLACEHOLDER	val_1	55
v_HulaHoop_g24_c02	PLACEHOLDER	0.0	3.76	3.76	1	PLACEHOLDER	val_1	56
v_HulaHoop_g17_c02	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	57
v_HulaHoop_g03_c05	PLACEHOLDER	0.0	3.68	3.68	1	PLACEHOLDER	val_1	58
v_HulaHoop_g19_c02	PLACEHOLDER	0.0	3.64	3.64	1	PLACEHOLDER	val_1	59
v_HulaHoop_g23_c05	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	60
v_HulaHoop_g18_c04	PLACEHOLDER	0.0	4.8	4.8	1	PLACEHOLDER	val_1	61
v_HulaHoop_g02_c01	PLACEHOLDER	0.0	4.44	4.44	1	PLACEHOLDER	val_1	62
v_HulaHoop_g21_c03	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	63
v_HulaHoop_g19_c04	PLACEHOLDER	0.0	3.72	3.72	1	PLACEHOLDER	val_1	64
v_HulaHoop_g14_c04	PLACEHOLDER	0.0	8.84	8.84	1	PLACEHOLDER	val_1	65
v_HulaHoop_g07_c05	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	66
v_HulaHoop_g12_c02	PLACEHOLDER	0.0	3.64	3.64	1	PLACEHOLDER	val_1	67
v_HulaHoop_g10_c01	PLACEHOLDER	0.0	3.4	3.4	1	PLACEHOLDER	val_1	68
v_HulaHoop_g15_c03	PLACEHOLDER	0.0	3.48	3.48	1	PLACEHOLDER	val_1	69
v_HulaHoop_g16_c05	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	70
v_HulaHoop_g20_c07	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	71
v_HulaHoop_g15_c04	PLACEHOLDER	0.0	3.24	3.24	1	PLACEHOLDER	val_1	72
v_HulaHoop_g22_c02	PLACEHOLDER	0.0	3.72	3.72	1	PLACEHOLDER	val_1	73
v_HulaHoop_g01_c05	PLACEHOLDER	0.0	4.84	4.84	1	PLACEHOLDER	val_1	74
v_HulaHoop_g12_c05	PLACEHOLDER	0.0	3.64	3.64	1	PLACEHOLDER	val_1	75
v_HulaHoop_g12_c01	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	76
v_HulaHoop_g07_c03	PLACEHOLDER	0.0	3.64	3.64	1	PLACEHOLDER	val_1	77
v_HulaHoop_g16_c01	PLACEHOLDER	0.0	3.64	3.64	1	PLACEHOLDER	val_1	78
v_HulaHoop_g02_c03	PLACEHOLDER	0.0	4.84	4.84	1	PLACEHOLDER	val_1	79
v_HulaHoop_g04_c02	PLACEHOLDER	0.0	4.48	4.48	1	PLACEHOLDER	val_1	80
v_HulaHoop_g20_c01	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	81
v_HulaHoop_g25_c02	PLACEHOLDER	0.0	3.64	3.64	1	PLACEHOLDER	val_1	82
v_HulaHoop_g13_c05	PLACEHOLDER	0.0	3.44	3.44	1	PLACEHOLDER	val_1	83
v_HulaHoop_g10_c03	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	84
v_HulaHoop_g20_c03	PLACEHOLDER	0.0	3.92	3.92	1	PLACEHOLDER	val_1	85
v_HulaHoop_g15_c05	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	86
v_HulaHoop_g02_c02	PLACEHOLDER	0.0	4.84	4.84	1	PLACEHOLDER	val_1	87
v_HulaHoop_g14_c03	PLACEHOLDER	0.0	8.52	8.52	1	PLACEHOLDER	val_1	88
v_HulaHoop_g08_c05	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	89
v_HulaHoop_g17_c05	PLACEHOLDER	0.0	3.8	3.8	1	PLACEHOLDER	val_1	90
v_HulaHoop_g04_c01	PLACEHOLDER	0.0	4.52	4.52	1	PLACEHOLDER	val_1	91
v_HulaHoop_g23_c02	PLACEHOLDER	0.0	3.28	3.28	1	PLACEHOLDER	val_1	92
v_HulaHoop_g22_c01	PLACEHOLDER	0.0	3.52	3.52	1	PLACEHOLDER	val_1	93
v_HulaHoop_g08_c03	PLACEHOLDER	0.0	3.64	3.64	1	PLACEHOLDER	val_1	94
v_HulaHoop_g04_c03	PLACEHOLDER	0.0	4.2	4.2	1	PLACEHOLDER	val_1	95
v_HulaHoop_g24_c04	PLACEHOLDER	0.0	3.52	3.52	1	PLACEHOLDER	val_1	96
v_HulaHoop_g21_c04	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	97
v_HulaHoop_g16_c02	PLACEHOLDER	0.0	3.68	3.68	1	PLACEHOLDER	val_1	98
v_HulaHoop_g24_c01	PLACEHOLDER	0.0	3.6	3.6	1	PLACEHOLDER	val_1	99
v_HulaHoop_g17_c04	PLACEHOLDER	0.0	3.96	3.96	1	PLACEHOLDER	val_1	100
v_HulaHoop_g19_c03	PLACEHOLDER	0.0	3.56	3.56	1	PLACEHOLDER	val_1	101
v_HulaHoop_g22_c03	PLACEHOLDER	0.0	3.8	3.8	1	PLACEHOLDER	val_1	102
v_HulaHoop_g06_c01	PLACEHOLDER	0.0	3.84	3.84	1	PLACEHOLDER	val_1	103
v_HulaHoop_g21_c01	PLACEHOLDER	0.0	3.84	3.84	1	PLACEHOLDER	val_1	104
v_HulaHoop_g02_c04	PLACEHOLDER	0.0	4.44	4.44	1	PLACEHOLDER	val_1	105
v_HulaHoop_g01_c04	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	106
v_HulaHoop_g09_c05	PLACEHOLDER	0.0	3.64	3.64	1	PLACEHOLDER	val_1	107
v_HulaHoop_g06_c03	PLACEHOLDER	0.0	3.84	3.84	1	PLACEHOLDER	val_1	108
v_HulaHoop_g24_c03	PLACEHOLDER	0.0	3.88	3.88	1	PLACEHOLDER	val_1	109
v_HulaHoop_g23_c04	PLACEHOLDER	0.0	3.64	3.64	1	PLACEHOLDER	val_1	110
v_HulaHoop_g11_c04	PLACEHOLDER	0.0	6.0	6.0	1	PLACEHOLDER	val_1	111
v_HulaHoop_g25_c03	PLACEHOLDER	0.0	3.64	3.64	1	PLACEHOLDER	val_1	112
v_HulaHoop_g13_c06	PLACEHOLDER	0.0	3.44	3.44	1	PLACEHOLDER	val_1	113
v_HulaHoop_g06_c04	PLACEHOLDER	0.0	3.84	3.84	1	PLACEHOLDER	val_1	114
v_HulaHoop_g08_c01	PLACEHOLDER	0.0	3.64	3.64	1	PLACEHOLDER	val_1	115
v_HulaHoop_g14_c02	PLACEHOLDER	0.0	8.6	8.6	1	PLACEHOLDER	val_1	116
v_HulaHoop_g14_c05	PLACEHOLDER	0.0	8.84	8.84	1	PLACEHOLDER	val_1	117
v_HulaHoop_g17_c03	PLACEHOLDER	0.0	3.96	3.96	1	PLACEHOLDER	val_1	118
v_HulaHoop_g09_c03	PLACEHOLDER	0.0	3.48	3.48	1	PLACEHOLDER	val_1	119
v_HulaHoop_g12_c06	PLACEHOLDER	0.0	3.56	3.56	1	PLACEHOLDER	val_1	120
v_HulaHoop_g09_c02	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	121
v_HulaHoop_g25_c01	PLACEHOLDER	0.0	3.88	3.88	1	PLACEHOLDER	val_1	122
v_HulaHoop_g09_c01	PLACEHOLDER	0.0	4.04	4.04	1	PLACEHOLDER	val_1	123
v_HulaHoop_g05_c04	PLACEHOLDER	0.0	4.56	4.56	1	PLACEHOLDER	val_1	124
v_BandMarching_g25_c03	PLACEHOLDER	0.0	6.2	6.2	1	PLACEHOLDER	val_1	125
v_BandMarching_g15_c06	PLACEHOLDER	0.0	7.4	7.4	1	PLACEHOLDER	val_1	126
v_BandMarching_g04_c03	PLACEHOLDER	0.0	7.8	7.8	1	PLACEHOLDER	val_1	127
v_BandMarching_g13_c02	PLACEHOLDER	0.0	9.72	9.72	1	PLACEHOLDER	val_1	128
v_BandMarching_g24_c01	PLACEHOLDER	0.0	13.6	13.6	1	PLACEHOLDER	val_1	129
v_BandMarching_g01_c02	PLACEHOLDER	0.0	6.48	6.48	1	PLACEHOLDER	val_1	130
v_BandMarching_g22_c01	PLACEHOLDER	0.0	10.16	10.16	1	PLACEHOLDER	val_1	131
v_BandMarching_g09_c04	PLACEHOLDER	0.0	3.48	3.48	1	PLACEHOLDER	val_1	132
v_BandMarching_g17_c04	PLACEHOLDER	0.0	5.84	5.84	1	PLACEHOLDER	val_1	133
v_BandMarching_g02_c02	PLACEHOLDER	0.0	6.24	6.24	1	PLACEHOLDER	val_1	134
v_BandMarching_g23_c05	PLACEHOLDER	0.0	4.6	4.6	1	PLACEHOLDER	val_1	135
v_BandMarching_g14_c04	PLACEHOLDER	0.0	8.44	8.44	1	PLACEHOLDER	val_1	136
v_BandMarching_g10_c05	PLACEHOLDER	0.0	7.52	7.52	1	PLACEHOLDER	val_1	137
v_BandMarching_g05_c05	PLACEHOLDER	0.0	2.6	2.6	1	PLACEHOLDER	val_1	138
v_BandMarching_g10_c07	PLACEHOLDER	0.0	5.92	5.92	1	PLACEHOLDER	val_1	139
v_BandMarching_g13_c01	PLACEHOLDER	0.0	16.44	16.44	1	PLACEHOLDER	val_1	140
v_BandMarching_g10_c06	PLACEHOLDER	0.0	5.52	5.52	1	PLACEHOLDER	val_1	141
v_BandMarching_g14_c03	PLACEHOLDER	0.0	8.8	8.8	1	PLACEHOLDER	val_1	142
v_BandMarching_g10_c02	PLACEHOLDER	0.0	5.56	5.56	1	PLACEHOLDER	val_1	143
v_BandMarching_g02_c07	PLACEHOLDER	0.0	5.8	5.8	1	PLACEHOLDER	val_1	144
v_BandMarching_g09_c01	PLACEHOLDER	0.0	3.8	3.8	1	PLACEHOLDER	val_1	145
v_BandMarching_g18_c04	PLACEHOLDER	0.0	7.36	7.36	1	PLACEHOLDER	val_1	146
v_BandMarching_g09_c06	PLACEHOLDER	0.0	4.72	4.72	1	PLACEHOLDER	val_1	147
v_BandMarching_g08_c05	PLACEHOLDER	0.0	8.2	8.2	1	PLACEHOLDER	val_1	148
v_BandMarching_g20_c01	PLACEHOLDER	0.0	7.04	7.04	1	PLACEHOLDER	val_1	149
v_BandMarching_g18_c06	PLACEHOLDER	0.0	7.36	7.36	1	PLACEHOLDER	val_1	150
v_BandMarching_g23_c01	PLACEHOLDER	0.0	8.36	8.36	1	PLACEHOLDER	val_1	151
v_BandMarching_g16_c05	PLACEHOLDER	0.0	6.36	6.36	1	PLACEHOLDER	val_1	152
v_BandMarching_g23_c02	PLACEHOLDER	0.0	11.36	11.36	1	PLACEHOLDER	val_1	153
v_BandMarching_g13_c04	PLACEHOLDER	0.0	12.12	12.12	1	PLACEHOLDER	val_1	154
v_BandMarching_g15_c04	PLACEHOLDER	0.0	10.28	10.28	1	PLACEHOLDER	val_1	155
v_BandMarching_g01_c04	PLACEHOLDER	0.0	6.4	6.4	1	PLACEHOLDER	val_1	156
v_BandMarching_g14_c01	PLACEHOLDER	0.0	5.76	5.76	1	PLACEHOLDER	val_1	157
v_BandMarching_g22_c03	PLACEHOLDER	0.0	10.52	10.52	1	PLACEHOLDER	val_1	158
v_BandMarching_g03_c03	PLACEHOLDER	0.0	11.36	11.36	1	PLACEHOLDER	val_1	159
v_BandMarching_g11_c03	PLACEHOLDER	0.0	15.56	15.56	1	PLACEHOLDER	val_1	160
v_BandMarching_g25_c05	PLACEHOLDER	0.0	4.2	4.2	1	PLACEHOLDER	val_1	161
v_BandMarching_g16_c01	PLACEHOLDER	0.0	9.64	9.64	1	PLACEHOLDER	val_1	162
v_BandMarching_g18_c02	PLACEHOLDER	0.0	8.56	8.56	1	PLACEHOLDER	val_1	163
v_BandMarching_g13_c03	PLACEHOLDER	0.0	10.56	10.56	1	PLACEHOLDER	val_1	164
v_BandMarching_g25_c01	PLACEHOLDER	0.0	8.0	8.0	1	PLACEHOLDER	val_1	165
v_BandMarching_g10_c03	PLACEHOLDER	0.0	4.48	4.48	1	PLACEHOLDER	val_1	166
v_BandMarching_g05_c01	PLACEHOLDER	0.0	1.88	1.88	1	PLACEHOLDER	val_1	167
v_BandMarching_g14_c06	PLACEHOLDER	0.0	8.28	8.28	1	PLACEHOLDER	val_1	168
v_BandMarching_g20_c02	PLACEHOLDER	0.0	7.56	7.56	1	PLACEHOLDER	val_1	169
v_BandMarching_g16_c03	PLACEHOLDER	0.0	4.36	4.36	1	PLACEHOLDER	val_1	170
v_BandMarching_g04_c02	PLACEHOLDER	0.0	8.4	8.4	1	PLACEHOLDER	val_1	171
v_BandMarching_g05_c04	PLACEHOLDER	0.0	3.56	3.56	1	PLACEHOLDER	val_1	172
v_BandMarching_g19_c04	PLACEHOLDER	0.0	10.4	10.4	1	PLACEHOLDER	val_1	173
v_BandMarching_g20_c03	PLACEHOLDER	0.0	6.6	6.6	1	PLACEHOLDER	val_1	174
v_BandMarching_g22_c05	PLACEHOLDER	0.0	5.12	5.12	1	PLACEHOLDER	val_1	175
v_BandMarching_g03_c06	PLACEHOLDER	0.0	16.56	16.56	1	PLACEHOLDER	val_1	176
v_BandMarching_g06_c02	PLACEHOLDER	0.0	6.08	6.08	1	PLACEHOLDER	val_1	177
v_BandMarching_g08_c01	PLACEHOLDER	0.0	4.76	4.76	1	PLACEHOLDER	val_1	178
v_BandMarching_g09_c07	PLACEHOLDER	0.0	5.28	5.28	1	PLACEHOLDER	val_1	179
v_BandMarching_g01_c05	PLACEHOLDER	0.0	6.72	6.72	1	PLACEHOLDER	val_1	180
v_BandMarching_g22_c04	PLACEHOLDER	0.0	9.92	9.92	1	PLACEHOLDER	val_1	181
v_BandMarching_g08_c03	PLACEHOLDER	0.0	3.8	3.8	1	PLACEHOLDER	val_1	182
v_BandMarching_g21_c05	PLACEHOLDER	0.0	12.92	12.92	1	PLACEHOLDER	val_1	183
v_BandMarching_g07_c03	PLACEHOLDER	0.0	4.2	4.2	1	PLACEHOLDER	val_1	184
v_BandMarching_g20_c04	PLACEHOLDER	0.0	6.6	6.6	1	PLACEHOLDER	val_1	185
v_BandMarching_g09_c03	PLACEHOLDER	0.0	4.08	4.08	1	PLACEHOLDER	val_1	186
v_BandMarching_g21_c06	PLACEHOLDER	0.0	13.44	13.44	1	PLACEHOLDER	val_1	187
v_BandMarching_g15_c05	PLACEHOLDER	0.0	18.84	18.84	1	PLACEHOLDER	val_1	188
v_BandMarching_g13_c05	PLACEHOLDER	0.0	7.12	7.12	1	PLACEHOLDER	val_1	189
v_BandMarching_g10_c01	PLACEHOLDER	0.0	5.68	5.68	1	PLACEHOLDER	val_1	190
v_BandMarching_g25_c04	PLACEHOLDER	0.0	3.56	3.56	1	PLACEHOLDER	val_1	191
v_BandMarching_g21_c03	PLACEHOLDER	0.0	6.76	6.76	1	PLACEHOLDER	val_1	192
v_BandMarching_g05_c06	PLACEHOLDER	0.0	3.16	3.16	1	PLACEHOLDER	val_1	193
v_BandMarching_g08_c02	PLACEHOLDER	0.0	5.8	5.8	1	PLACEHOLDER	val_1	194
v_BandMarching_g21_c02	PLACEHOLDER	0.0	12.92	12.92	1	PLACEHOLDER	val_1	195
v_BandMarching_g24_c05	PLACEHOLDER	0.0	7.68	7.68	1	PLACEHOLDER	val_1	196
v_BandMarching_g07_c04	PLACEHOLDER	0.0	5.28	5.28	1	PLACEHOLDER	val_1	197
v_BandMarching_g02_c01	PLACEHOLDER	0.0	6.24	6.24	1	PLACEHOLDER	val_1	198
v_BandMarching_g24_c03	PLACEHOLDER	0.0	7.68	7.68	1	PLACEHOLDER	val_1	199
v_BandMarching_g12_c04	PLACEHOLDER	0.0	11.76	11.76	1	PLACEHOLDER	val_1	200
v_BandMarching_g01_c06	PLACEHOLDER	0.0	6.04	6.04	1	PLACEHOLDER	val_1	201
v_BandMarching_g10_c04	PLACEHOLDER	0.0	6.44	6.44	1	PLACEHOLDER	val_1	202
v_BandMarching_g17_c01	PLACEHOLDER	0.0	5.0	5.0	1	PLACEHOLDER	val_1	203
v_BandMarching_g15_c02	PLACEHOLDER	0.0	9.56	9.56	1	PLACEHOLDER	val_1	204
v_BandMarching_g11_c04	PLACEHOLDER	0.0	10.84	10.84	1	PLACEHOLDER	val_1	205
v_BandMarching_g11_c02	PLACEHOLDER	0.0	12.04	12.04	1	PLACEHOLDER	val_1	206
v_BandMarching_g22_c02	PLACEHOLDER	0.0	5.24	5.24	1	PLACEHOLDER	val_1	207
v_BandMarching_g19_c03	PLACEHOLDER	0.0	12.28	12.28	1	PLACEHOLDER	val_1	208
v_BandMarching_g07_c07	PLACEHOLDER	0.0	5.84	5.84	1	PLACEHOLDER	val_1	209
v_BandMarching_g04_c04	PLACEHOLDER	0.0	6.68	6.68	1	PLACEHOLDER	val_1	210
v_BandMarching_g12_c01	PLACEHOLDER	0.0	19.52	19.52	1	PLACEHOLDER	val_1	211
v_BandMarching_g23_c04	PLACEHOLDER	0.0	8.48	8.48	1	PLACEHOLDER	val_1	212
v_BandMarching_g02_c03	PLACEHOLDER	0.0	4.92	4.92	1	PLACEHOLDER	val_1	213
v_BandMarching_g02_c05	PLACEHOLDER	0.0	4.92	4.92	1	PLACEHOLDER	val_1	214
v_BandMarching_g03_c04	PLACEHOLDER	0.0	18.84	18.84	1	PLACEHOLDER	val_1	215
v_BandMarching_g23_c06	PLACEHOLDER	0.0	6.6	6.6	1	PLACEHOLDER	val_1	216
v_BandMarching_g02_c04	PLACEHOLDER	0.0	4.88	4.88	1	PLACEHOLDER	val_1	217
v_BandMarching_g08_c04	PLACEHOLDER	0.0	4.08	4.08	1	PLACEHOLDER	val_1	218
v_BandMarching_g03_c05	PLACEHOLDER	0.0	10.8	10.8	1	PLACEHOLDER	val_1	219
v_BandMarching_g25_c07	PLACEHOLDER	0.0	8.56	8.56	1	PLACEHOLDER	val_1	220
v_BandMarching_g01_c03	PLACEHOLDER	0.0	6.04	6.04	1	PLACEHOLDER	val_1	221
v_BandMarching_g11_c05	PLACEHOLDER	0.0	17.28	17.28	1	PLACEHOLDER	val_1	222
v_BandMarching_g07_c02	PLACEHOLDER	0.0	4.08	4.08	1	PLACEHOLDER	val_1	223
v_BandMarching_g05_c07	PLACEHOLDER	0.0	2.48	2.48	1	PLACEHOLDER	val_1	224
v_BandMarching_g24_c02	PLACEHOLDER	0.0	6.96	6.96	1	PLACEHOLDER	val_1	225
v_BandMarching_g01_c07	PLACEHOLDER	0.0	4.4	4.4	1	PLACEHOLDER	val_1	226
v_BandMarching_g16_c04	PLACEHOLDER	0.0	4.36	4.36	1	PLACEHOLDER	val_1	227
v_BandMarching_g15_c01	PLACEHOLDER	0.0	12.4	12.4	1	PLACEHOLDER	val_1	228
v_BandMarching_g25_c06	PLACEHOLDER	0.0	6.28	6.28	1	PLACEHOLDER	val_1	229
v_BandMarching_g16_c06	PLACEHOLDER	0.0	5.6	5.6	1	PLACEHOLDER	val_1	230
v_BandMarching_g18_c03	PLACEHOLDER	0.0	12.4	12.4	1	PLACEHOLDER	val_1	231
v_BandMarching_g24_c04	PLACEHOLDER	0.0	8.72	8.72	1	PLACEHOLDER	val_1	232
v_BandMarching_g07_c01	PLACEHOLDER	0.0	2.8	2.8	1	PLACEHOLDER	val_1	233
v_BandMarching_g18_c05	PLACEHOLDER	0.0	6.88	6.88	1	PLACEHOLDER	val_1	234
v_BandMarching_g08_c06	PLACEHOLDER	0.0	8.76	8.76	1	PLACEHOLDER	val_1	235
v_BandMarching_g08_c07	PLACEHOLDER	0.0	5.6	5.6	1	PLACEHOLDER	val_1	236
v_BandMarching_g20_c05	PLACEHOLDER	0.0	8.8	8.8	1	PLACEHOLDER	val_1	237
v_BandMarching_g07_c06	PLACEHOLDER	0.0	5.84	5.84	1	PLACEHOLDER	val_1	238
v_BandMarching_g05_c02	PLACEHOLDER	0.0	3.36	3.36	1	PLACEHOLDER	val_1	239
v_BandMarching_g21_c04	PLACEHOLDER	0.0	17.72	17.72	1	PLACEHOLDER	val_1	240
v_BandMarching_g03_c01	PLACEHOLDER	0.0	16.2	16.2	1	PLACEHOLDER	val_1	241
v_BandMarching_g14_c02	PLACEHOLDER	0.0	9.24	9.24	1	PLACEHOLDER	val_1	242
v_BandMarching_g14_c05	PLACEHOLDER	0.0	8.64	8.64	1	PLACEHOLDER	val_1	243
v_BandMarching_g03_c02	PLACEHOLDER	0.0	13.4	13.4	1	PLACEHOLDER	val_1	244
v_BandMarching_g06_c03	PLACEHOLDER	0.0	4.2	4.2	1	PLACEHOLDER	val_1	245
v_BandMarching_g06_c04	PLACEHOLDER	0.0	4.72	4.72	1	PLACEHOLDER	val_1	246
v_BandMarching_g19_c06	PLACEHOLDER	0.0	15.12	15.12	1	PLACEHOLDER	val_1	247
v_BandMarching_g04_c01	PLACEHOLDER	0.0	17.92	17.92	1	PLACEHOLDER	val_1	248
v_BandMarching_g12_c05	PLACEHOLDER	0.0	11.8	11.8	1	PLACEHOLDER	val_1	249
v_BandMarching_g16_c02	PLACEHOLDER	0.0	9.32	9.32	1	PLACEHOLDER	val_1	250
v_BandMarching_g12_c03	PLACEHOLDER	0.0	10.4	10.4	1	PLACEHOLDER	val_1	251
v_BandMarching_g09_c05	PLACEHOLDER	0.0	10.0	10.0	1	PLACEHOLDER	val_1	252
v_BandMarching_g09_c02	PLACEHOLDER	0.0	4.24	4.24	1	PLACEHOLDER	val_1	253
v_BandMarching_g19_c05	PLACEHOLDER	0.0	13.24	13.24	1	PLACEHOLDER	val_1	254
